===== Simulator configuration =====
BLOCKSIZE:  16
L1_SIZE:    1024
L1_ASSOC:   1
L2_SIZE:    0
L2_ASSOC:   0
PREF_N:     1
PREF_M:     4
trace_file: traces/gcc_trace.txt
SB: 40023c9  40023ca  40023cb  40023cc  
SB: 7b034c2  7b034c3  7b034c4  7b034c5  
SB: 4003635  4003636  4003637  4003638  
SB: 40022e6  40022e7  40022e8  40022e9  
SB: 40022cc  40022cd  40022ce  40022cf  
SB: 40022df  40022e0  40022e1  40022e2  
SB: 40022e7  40022e8  40022e9  40022ea  
SB: 4013681  4013682  4013683  4013684  
SB: 40022e8  40022e9  40022ea  40022eb  
SB: 423aec5  423aec6  423aec7  423aec8  
SB: 423aec3  423aec4  423aec5  423aec6  
SB: 4214c8b  4214c8c  4214c8d  4214c8e  
SB: dfd30  dfd31  dfd32  dfd33  
SB: 7b034de  7b034df  7b034e0  7b034e1  
SB: df7fa  df7fb  df7fc  df7fd  
SB: 4000299  400029a  400029b  400029c  
SB: 40139de  40139df  40139e0  40139e1  
SB: df9b1  df9b2  df9b3  df9b4  
SB: 7b034c6  7b034c7  7b034c8  7b034c9  
SB: 7b034c7  7b034c8  7b034c9  7b034ca  
SB: dfafb  dfafc  dfafd  dfafe  
SB: 7b034da  7b034db  7b034dc  7b034dd  
SB: df878  df879  df87a  df87b  
SB: df850  df851  df852  df853  
SB: 423aec2  423aec3  423aec4  423aec5  
SB: 7b034c9  7b034ca  7b034cb  7b034cc  
SB: 4239fdd  4239fde  4239fdf  4239fe0  
SB: 40022e9  40022ea  40022eb  40022ec  
SB: 7b034de  7b034df  7b034e0  7b034e1  
SB: 7b034df  7b034e0  7b034e1  7b034e2  
SB: 7b034e0  7b034e1  7b034e2  7b034e3  
SB: 7b034ca  7b034cb  7b034cc  7b034cd  
SB: 7b034cc  7b034cd  7b034ce  7b034cf  
SB: 7b034cd  7b034ce  7b034cf  7b034d0  
SB: 7b034f6  7b034f7  7b034f8  7b034f9  
SB: 40139aa  40139ab  40139ac  40139ad  
SB: 7b034d5  7b034d6  7b034d7  7b034d8  
